SERIES_CODE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
IND.ODCORP_A_F2MSOTS_RR_ACO_S121_ODCS.XDC.A,India,"Assets, Deposits and securities other than shares, Required reserves, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,4622670.0,4790590.0,5155630.0,6037020.0,5221760.0,7648284.6,8997771.0,10012806.9,10002595.3,7606143.6
IND.ODCORP_A_ACO_PS_ODCS.XDC.A,India,"Assets, Claims on Private sector (ODCS)",Domestic currency,Annual,Millions,58801794.81,65233911.69,73515033.34,77877187.39,80978474.23,87055731.51,99732708.52,118527018.7,132343752.3,152094169.9
IND.ODCORP_A_ACO_S1311MIXED_ODCS.XDC.A,India,"Assets, Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,31048762.29,27878922.5,27680752.55,31115005.32,35628093.66,36172107.22,40748486.31,47197868.86,51647494.12,53881553.04
IND.ODCORP_A_ACO_S121_ODCS.XDC.A,India,"Assets, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,7501634.646,6467863.078,6224050.194,9303785.895,11944707.17,16809006.77,11603222.68,11991003.63,11656594.32,10625894.3
IND.ODCORP_A_ACO_S12R_ODCS.XDC.A,India,"Assets, Claims on Other financial corporations (ODCS)",Domestic currency,Annual,Millions,5410861.649,6399374.428,8932280.165,10864890.42,12231237.96,13938129.59,19764161.46,18907322.16,19747613.79,22332437.22
IND.ODCORP_A_IL_ACO_NRES_ODCS.USD.A,India,"Assets, International Liquidity, Claims on Nonresidents (ODCS)",US dollar,Annual,Millions,16127.85512,24935.28499,21539.78341,29511.96972,45632.6915,40661.33915,31442.93429,36323.75256,55967.3038,78157.4208
IND.ODCORP_A_ACO_S13M1_ODCS.XDC.A,India,"Assets, Claims on State and Local Governments (ODCS)",Domestic currency,Annual,Millions,7655878.241,8309683.443,8746481.068,9528132.2,12199334.72,14184242.66,14291366.48,16819384.16,18442451.27,19257357.55
IND.ODCORP_L_F51KOE_ODCS.XDC.A,India,"Liabilities, Shares and other Equity (ODCS)",Domestic currency,Annual,Millions,13439033.4,12466620.63,14048275.06,19571609.61,21490180.89,16670191.16,16648835.35,46201456.02,67204736.2,77265542.52
IND.ODCORP_A_ACO_S1_Z_ODCS.XDC.A,India,"Assets, Claims on Other sectors (ODCS)",Domestic currency,Annual,Millions,93138803.98,102717299.0,116463807.0,124975650.4,134075914.7,147445648.3,167091634.9,192942796.1,213672715.9,243230936.7
IND.ODCORP_L_F6_ODCS.XDC.A,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Annual,Millions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND.ODCORP_A_ACO_NRES_ODCS.XDC.A,India,"Assets, Claims on Nonresidents (ODCS)",Domestic currency,Annual,Millions,1095963.556,1594045.444,1503311.026,2103436.13,3333632.392,3021239.152,2603041.047,3019099.547,4792099.647,7027899.647
