SERIES_CODE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,CATEGORY,YEAR,VALUE
IND.ODCORP_A_F2MSOTS_RR_ACO_S121_ODCS.XDC.A,India,"Assets, Deposits and securities other than shares, Required reserves, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2016,4622670.0
IND.ODCORP_A_ACO_PS_ODCS.XDC.A,India,"Assets, Claims on Private sector (ODCS)",Domestic currency,Annual,Millions,Private Sector Exposure,2016,58801794.81
IND.ODCORP_A_ACO_S1311MIXED_ODCS.XDC.A,India,"Assets, Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2016,31048762.29
IND.ODCORP_A_ACO_S121_ODCS.XDC.A,India,"Assets, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2016,7501634.646
IND.ODCORP_A_ACO_S12R_ODCS.XDC.A,India,"Assets, Claims on Other financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2016,5410861.649
IND.ODCORP_A_IL_ACO_NRES_ODCS.USD.A,India,"Assets, International Liquidity, Claims on Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2016,16127.85512
IND.ODCORP_A_ACO_S13M1_ODCS.XDC.A,India,"Assets, Claims on State and Local Governments (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2016,7655878.241
IND.ODCORP_L_F51KOE_ODCS.XDC.A,India,"Liabilities, Shares and other Equity (ODCS)",Domestic currency,Annual,Millions,Capital & Equity,2016,13439033.4
IND.ODCORP_A_ACO_S1_Z_ODCS.XDC.A,India,"Assets, Claims on Other sectors (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2016,93138803.98
IND.ODCORP_L_F6_ODCS.XDC.A,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Annual,Millions,Insurance Technical Reserves,2016,0.0
IND.ODCORP_A_ACO_NRES_ODCS.XDC.A,India,"Assets, Claims on Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2016,1095963.556
IND.ODCORP_A_F21_ACO_S121_ODCS.XDC.A,India,"Assets, Currency, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2016,1573502.864
IND.ODCORP_A_OCO_S121_ODCS.XDC.A,India,"Assets, Other claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2016,1305461.782
IND.ODCORP_L_LT_NRES_ODCS.XDC.A,India,"Liabilities, Liabilities to Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2016,0.0
IND.ODCORP_NETAL_NCO_S1311MIXED_ODCS.XDC.A,India,"Net (assets less liabilities), Net Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2016,31048762.29
IND.ODCORP_NETAL_NFRA_ODCS.XDC.A,India,"Net (assets less liabilities), Net foreign assets (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2016,1095963.556
IND.ODCORP_L_F29_IBM_ODCS.XDC.A,India,"Liabilities, Other Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2016,100112067.8
IND.ODCORP_L_F2M_XBM_ODCS.XDC.A,India,"Liabilities, Deposits, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2016,0.0
IND.ODCORP_A_ACO_S11001_ODCS.XDC.A,India,"Assets, Claims on Public non-financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2016,21270269.27
